㓦劃	bo4 hua4
一床錦被蓋過	yi4 chuang2 jin3 bei4 gai4 guo4
一床錦被遮蓋	yi4 chuang2 jin3 bei4 zhe1 gai4
一片	yi2 pian4
一片丹心	yi2 pian4 dan1 xin1
一片冰心	yi2 pian4 bing1 xin1
一片婆心	yi2 pian4 po2 xin1
一片宮商	yi2 pian4 gong1 shang1
一片寶	yi2 pian4 bao3
一片散沙	yi2 pian4 san3 sha1
一片汪洋	yi2 pian4 wang1 yang2
一片痴心	yi2 pian4 chi1 xin1
一片癡心	yi2 pian4 chi1 xin1
一片真心	yi2 pian4 zhen1 xin1
一片石	yi2 pian4 shi2
一片聲	yi2 pian4 sheng1
一片至誠	yi2 pian4 zhi4 cheng2
一片苦心	yi2 pian4 ku3 xin1
一片赤心	yi2 pian4 chi4 xin1
一牛吼地	yi4 niu2 hou3 di4
一物降一物	yi2 wu4 xiang2 yi2 wu4
一狐之腋	yi4 hu2 zhi1 ye4
一狐之腋	yi4 hu2 zhi1 yi4
一生喫著不盡	yi4 sheng1 chi1 zhuo2 bu2 jin4
一畝三分地	yi4 mu3 san1 fen1 di4
一瘸一簸	yi4 que2 yi4 bo3
一發不可收拾	yi4 fa1 bu4 ke3 shou1 shi5
一百二十行	yi4 bai3 er4 shi2 hang2
一百八十度	yi4 bai3 ba1 shi2 du4
一百分	yi4 bai3 fen1
一盆漿糊	yi4 pen2 jiang1 hu2
一盤散沙	yi4 pan2 san3 sha1
一目了然	yi2 mu4 liao3 ran2
一目十行	yi2 mu4 shi2 hang2
一目瞭然	yi2 mu4 liao3 ran2
一相情願	yi4 xiang1 qing2 yuan4
一眼看破	yi4 yan3 kan4 po4
一眼看穿	yi4 yan3 kan4 chuan1
一著	yi4 zhao1
一著	yi4 zhuo2
一著不慎	yi4 zhao1 bu2 shen4
一著不慎	yi4 zhuo2 bu2 shen4
一著錯	yi4 zhuo2 cuo4
一瞬間	yi2 shun4 jian1
一矢中的	yi4 shi3 zhong4 di4
一矢之地	yi4 shi3 zhi1 di4
一知半解	yi4 zhi1 ban4 jie3
一石米養個仇人	yi2 dan4 mi3 yang3 ge5 chou2 ren2
一碗水往平處端	yi4 wan3 shui3 wang3 ping2 chu4 duan1
一碼子	yi4 ma3 zi5
一祕	yi2 mi4
一神教	yi4 shen2 jiao4
一票難求	yi2 piao4 nan2 qiu2
一程子	yi4 cheng2 zi5
一種	yi4 zhong3
一窩子	yi4 wo1 zi5
一竅不通	yi2 qiao4 bu4 tong1
一竿子	yi4 gan1 zi5
一竿子插到底	yi4 gan1 zi5 cha1 dao4 di3
一笑了之	yi2 xiao4 liao3 zhi1
一筆勾	yi4 bi3 gou1
一筆勾斷	yi4 bi3 gou1 duan4
一筆勾消	yi4 bi3 gou1 xiao1
一筆勾銷	yi4 bi3 gou1 xiao1
一筆抹倒	yi4 bi3 mo3 dao3
一筆抹殺	yi4 bi3 mo3 sha1
一筆抹煞	yi4 bi3 mo3 sha1
一答	yi4 da2
一答一合	yi4 da2 yi4 he2
一答一和兒	yi1 da2 yi1 he2 er5
一箭上垛	yi2 jian4 shang4 duo4
一箭之仇	yi2 jian4 zhi1 chou2
一箭之地	yi2 jian4 zhi1 di4
一紙空文	yi4 zhi3 kong1 wen2
一級傳播	yi4 ji2 chuan2 bo4
一索得男	yi1 suo3 de2 nan2
一網打盡	yi4 wang3 da3 jin4
一線曙光	yi2 xian4 shu4 guang1
一聲不吭	yi4 sheng1 bu4 keng1
一聽	yi2 ting4
一肚子	yi2 du4 zi5
一肚皮	yi2 du4 pi2
一肩挑	yi4 jian1 tiao1
一脈	yi2 mai4
一脈相傳	yi2 mai4 xiang1 chuan2
一脈相承	yi2 mai4 xiang1 cheng2
一脈相通	yi2 mai4 xiang1 tong1
一脈相連	yi2 mai4 xiang1 lian2
一腦門子	yi4 nao3 men2 zi5
一腳地	yi4 jiao3 di4
一致性效應	yi2 zhi4 xing4 xiao4 ying4
一舉兩便	yi4 ju3 liang3 bian4
一舉兩得	yi4 ju3 liang3 de2
一舉數得	yi4 ju3 shu4 de2
一般	yi4 ban1
一般人	yi4 ban1 ren2
一般來說	yi4 ban1 lai2 shuo1
一般來講	yi4 ban1 lai2 jiang3
一般原則	yi4 ban1 yuan2 ze2
一般性	yi4 ban1 xing4
一般而言	yi4 ban1 er2 yan2
一般見識	yi4 ban1 jian4 shi4
一般見識	yi4 ban1 jian4 shi5
一般規定	yi4 ban1 gui1 ding4
一般說來	yi4 ban1 shuo1 lai2
一般貿易	yi4 ban1 mao4 yi4
一落	yi2 luo4
一落千丈	yi2 luo4 qian1 zhang4
一落索	yi2 luo4 suo3
一虎難敵眾犬	yi4 hu3 nan2 di2 zhong4 quan3
一處	yi2 chu4
一號木桿	yi1 hao4 mu4 gan1
一行	yi2 xing4
一行	yi4 hang2
一行	yi4 xing2
一行三昧	yi4 hang2 san1 mei4
一行人	yi4 xing2 ren2
一行作吏	yi4 xing2 zuo4 li4
一衝一撞	yi4 chong1 yi2 zhuang4
一見傾心	yi2 jian4 qing1 xin1
一見如故	yi2 jian4 ru2 gu4
一見鍾情	yi2 jian4 zhong1 qing2
一見高低	yi2 jian4 gao1 di1
一親芳澤	yi4 qin1 fang1 ze2
一角	yi4 jiao3
一角	yi4 jue2
一角銀幣	yi4 jiao3 yin2 bi4
一言一行	yi4 yan2 yi4 xing2
一言不和	yi4 yan2 bu4 he2
一言中的	yi4 yan2 zhong4 di4
一言喪邦	yi4 yan2 sang4 bang1
一言為定	yi4 yan2 wei2 ding4
一言為重	yi4 yan2 wei2 zhong4
一言興邦	yi4 yan2 xing1 bang1
一言難盡	yi4 yan2 nan2 jin4
一言難罄	yi4 yan2 nan2 qing4
一語不發	yi4 yu3 bu4 fa1
一語中人	yi4 yu3 zhong4 ren2
一語中的	yi4 yu3 zhong4 di4
一語撞倒牆	yi4 yu3 zhuang4 dao3 qiang2
一語破的	yi4 yu3 po4 di4
一走了之	yi4 zou3 liao3 zhi1
一趟	yi2 tang4
一踅頭	yi4 xue2 tou2
一蹴可幾	yi2 cu4 ke3 ji1
一蹴可幾	yi2 cu4 ke3 ji3
一蹴而得	yi2 cu4 er2 de2
一身作事一身當	yi4 shen1 zuo4 shi4 yi4 shen1 dang1
一較長短	yi2 jiao4 chang2 duan3
一輩子	yi2 bei4 zi5
一轂轆	yi4 gu3 lu4
一轉眼	yi4 zhuan3 yan3
一轉語	yi4 zhuan3 yu3
一轍	yi2 che4
一轍	yi4 zhe2
一通	yi2 tong4
一還一報	yi4 huan2 yi2 bao4
一邊	yi4 bian1
一部分	yi2 bu4 fen4
一酬一酢	yi4 chou2 yi2 zuo4
一針見血	yi4 zhen1 jian4 xie3
一錘子買賣	yi4 chui2 zi5 mai3 mai5
一錢不落虛空地	yi4 qian2 bu2 luo4 xu1 kong1 di4
一鍬掘個井	yi4 qiao1 jue2 ge5 jing3
一長一短	yi4 chang2 yi4 duan3
一長二短	yi4 chang2 er4 duan3
一長兩短	yi4 chang2 liang3 duan3
一門心思	yi4 men2 xin1 si5
一闡提	yi4 chan2 ti2
一陣子	yi2 zhen4 zi5
一隅之地	yi4 yu2 zhi1 di4
一霎間	yi2 sha4 jian1
一面之識	yi2 mian4 zhi1 shi4
一面倒	yi2 mian4 dao3
一音教	yi4 yin1 jiao4
一項一項地	yi2 xiang4 yi2 xiang4 de5
一頭	yi4 tou2
一頭撞倒南牆	yi4 tou2 zhuang4 dao3 nan2 qiang2
一頭霧水	yi4 tou2 wu4 shui3
一飛衝天	yi4 fei1 chong1 tian1
一飯三吐哺	yi2 fan4 san1 tu3 bu3
一馬當先	yi4 ma3 dang1 xian1
一骨碌	yi4 gu2 lu5
一體化	yi4 ti3 hua4
一髮	yi2 fa4
一髮	yi4 fa3
一髮千鈞	yi2 fa4 qian1 jun1
一髮千鈞	yi4 fa3 qian1 jun1
一鬨而散	yi2 hong4 er2 san4
一鱗一爪	yi4 lin2 yi4 zhua3
一鱗半爪	yi4 lin2 ban4 zhua3
一鱗片甲	yi4 lin2 pian4 jia3
一點兒	yi4 dian3 er5
一點水一個泡	yi4 dian3 shui3 yi2 ge5 pao4
一點露	yi4 dian3 lu4
一鼻子灰	yi4 bi2 zi5 hui1
一龍生九種	yi4 long2 sheng1 jiu3 zhong3
丁丁	zheng1 zheng1
丁丁當當	ding1 ding1 dang1 dang1
丁倒	ding1 dao3
丁字鋪	ding1 zi4 pu4
丁字鎬	ding1 zi4 gao3
丁寧	ding1 ning2
丁差	ding1 chai1
丁彊	ding1 qiang2
丁是丁	ding1 shi5 ding1
丁當	ding1 dang4
丁零當啷	ding1 ling5 dang1 lang1
丁香結	ding1 xiang1 jie2
七上八落	qi1 shang4 ba1 luo4
七了八當	qi1 liao3 ba1 dang4
七個八個	qi1 ge5 ba1 ge5
七分主人	qi1 fen1 zhu3 ren2
七分之一	qi1 fen1 zhi1 yi1
七分像鬼	qi1 fen1 xiang4 gui3
七十二地煞	qi1 shi2 er4 di4 sha4
七十二行	qi1 shi2 er4 hang2
七和絃	qi1 he2 xian2
七夕	qi1 xi4
七孔流血	qi1 kong3 liu2 xie3
七折八扣	qi1 zhe2 ba1 kou4
七橫八縱	qi1 heng2 ba1 zong1
七橫八豎	qi1 heng2 ba1 shu4
七歪八倒	qi1 wai1 ba1 dao3
七滅諍法	qi1 mie4 zheng1 fa3
七煞	qi1 sha4
七葷八素	qi1 hun1 ba1 su4
七跌八撞	qi1 die2 ba1 zhuang4
七返九還	qi1 fan3 jiu3 huan2
七長八短	qi1 chang2 ba1 duan3
七零八散	qi1 ling2 ba1 san3
七零八落	qi1 ling2 ba1 luo4
七顛八倒	qi1 dian1 ba1 dao3
万俟	mo4 qi2
丈二和尚	zhang4 er4 he2 shang4
丈二和尚摸不著頭腦	zhang4 er4 he2 shang4 mo1 bu4 zhao2 tou2 nao3
丈人	zhang4 ren2
丈人	zhang4 ren5
丈人行	zhang4 ren2 hang2
丈夫	zhang4 fu1
丈夫	zhang4 fu5
丈夫有淚不輕彈	zhang4 fu1 you3 lei4 bu4 qing1 tan2
丈母娘看女婿	zhang4 mu3 niang2 kan4 nv3 xu4
丈量	zhang4 liang2
三七仔	san1 qi1 zi3
