㓦劃	bo4 hua4
靠邊	kao4 bian1
靠邊站	kao4 bian1 zhan4
靠邊走	kao4 bian1 zou3
靠門	kao4 men2
靠門邊	kao4 men2 bian1
靠點	kao4 dian3
靡爛	mi2 lan4
靡靡之音	mi3 mi3 zhi1 yin1
靡麗	mi3 li4
面上	mian4 shang4
面上無光	mian4 shang4 wu2 guang1
面不改色	mian4 bu4 gai3 se4
面交	mian4 jiao1
面值	mian4 zhi2
面具	mian4 ju4
面前	mian4 qian2
面北	mian4 bei3
面向	mian4 xiang4
面呈	mian4 cheng2
面告	mian4 gao4
面商	mian4 shang1
面善	mian4 shan4
面善心惡	mian4 shan4 xin1 e4
面囑	mian4 zhu3
面壁	mian4 bi4
面壁思過	mian4 bi4 si1 guo4
面奏	mian4 zou4
面如	mian4 ru2
面如土色	mian4 ru2 tu3 se4
面嫩	mian4 nen4
面子	mian4 zi5
面孔	mian4 kong3
面容	mian4 rong2
面對	mian4 dui4
面對現實	mian4 dui4 xian4 shi2
面對面	mian4 dui4 mian4
面山	mian4 shan1
面巾	mian4 jin1
面市	mian4 shi4
面帶	mian4 dai4
面帶微笑	mian4 dai4 wei2 xiao4
面帶笑容	mian4 dai4 xiao4 rong2
面惡	mian4 e4
面惡心善	mian4 e4 xin1 shan4
面折	mian4 zhe2
面授	mian4 shou4
面授機宜	mian4 shou4 ji1 yi2
面斥	mian4 chi4
面晤	mian4 wu4
面會	mian4 hui4
面有	mian4 you3
面有喜色	mian4 you3 xi3 se4
面有菜色	mian4 you3 cai4 se4
面有難色	mian4 you3 nan2 se4
面朝	mian4 chao2
面朝著	mian4 chao2 zhe5
面板	mian4 ban3
面泛	mian4 fan4
面洽	mian4 qia4
面洽	mian4 xia2
面海	mian4 hai3
面無人色	mian4 wu2 ren2 se4
面無血色	mian4 wu2 xie3 se4
面無表情	mian4 wu2 biao3 qing2
面熟	mian4 shou2
面牆	mian4 qiang2
面生	mian4 sheng1
面皰	mian4 pao4
面盆	mian4 pen2
面目	mian4 mu4
面目一新	mian4 mu4 yi1 xin1
面目一新	mian4 mu4 yi4 xin1
面目全非	mian4 mu4 quan2 fei1
面目可憎	mian4 mu4 ke3 zeng1
面相	mian4 xiang4
面稟	mian4 bing3
面積	mian4 ji1
面積分	mian4 ji1 fen1
面紅	mian4 hong2
面紅耳熱	mian4 hong2 er3 re4
面紅耳赤	mian4 hong2 er3 chi4
面紗	mian4 sha1
面紙	mian4 zhi3
面罩	mian4 zhao4
面膜	mian4 mo2
面臨	mian4 lin2
面臨到	mian4 lin2 dao4
面臨著	mian4 lin2 zhe5
面色	mian4 se4
面色蒼白	mian4 se4 cang1 bai2
面薄	mian4 bo2
面見	mian4 jian4
面試	mian4 shi4
面試官	mian4 shi4 guan1
面談	mian4 tan2
面請	mian4 qing3
面諭	mian4 yu4
面謁	mian4 ye4
面謝	mian4 xie4
面議	mian4 yi4
面貌	mian4 mao4
面貌一新	mian4 mao4 yi1 xin1
面貌一新	mian4 mao4 yi4 xin1
面貌全非	mian4 mao4 quan2 fei1
面質	mian4 zhi2
面邀	mian4 yao1
面部	mian4 bu4
面陳	mian4 chen2
面霜	mian4 shuang1
面面	mian4 mian4
面面俱到	mian4 mian4 ju4 dao4
面面相覷	mian4 mian4 xiang1 qu4
面面觀	mian4 mian4 guan1
面頰	mian4 jia2
面額	mian4 e2
面黃	mian4 huang2
面黃肌瘦	mian4 huang2 ji1 shou4
面龐	mian4 pang2
靦汗	mian3 han4
靦然	mian3 ran2
靦腆	mian3 tian3
靦臉	tian3 lian3
靦顏	tian3 yan2
革命	ge2 ming4
革命先烈	ge2 ming4 xian1 lie4
革命委員	ge2 ming4 wei3 yuan2
革命家	ge2 ming4 jia1
革命性	ge2 ming4 xing4
革命意志	ge2 ming4 yi4 zhi4
革命戰爭	ge2 ming4 zhan4 zheng1
革命文學	ge2 ming4 wen2 xue2
革命烈士	ge2 ming4 lie4 shi4
革命英雄	ge2 ming4 ying1 xiong2
革命軍	ge2 ming4 jun1
革命軍人	ge2 ming4 jun1 ren2
革命運動	ge2 ming4 yun4 dong4
革命鬥志	ge2 ming4 dou4 zhi4
革命黨	ge2 ming4 dang3
革命黨人	ge2 ming4 dang3 ren2
革履	ge2 lv3
革左五營	ge2 zuo3 wu3 ying2
革心	ge2 xin1
革新	ge2 xin1
革新派	ge2 xin1 pai4
革新運動	ge2 xin1 yun4 dong4
革正	ge2 zheng4
革職	ge2 zhi2
革職留任	ge2 zhi2 liu2 ren4
革退	ge2 tui4
革除	ge2 chu2
革面洗心	ge2 mian4 xi3 xin1
靴子	xue1 zi5
靴尖	xue1 jian1
靴底	xue1 di3
靴釘	xue1 ding1
靶台	ba3 tai2
靶場	ba3 chang3
靶子	ba3 zi5
靶心	ba3 xin1
靶機	ba3 ji1
鞋刷	xie2 shua1
鞋匠	xie2 jiang4
鞋印	xie2 yin4
鞋子	xie2 zi5
鞋帶	xie2 dai4
鞋幫	xie2 bang1
鞋底	xie2 di3
鞋底抹油	xie2 di3 mo3 you2
鞋店	xie2 dian4
鞋廠	xie2 chang3
鞋拔子	xie2 ba2 zi5
鞋架	xie2 jia4
鞋根	xie2 gen1
鞋業	xie2 ye4
鞋櫃	xie2 gui4
鞋油	xie2 you2
鞋盒	xie2 he2
鞋裡	xie2 li3
鞋襪	xie2 wa4
鞋跟	xie2 gen1
鞋面	xie2 mian4
鞋類	xie2 lei4
鞍子	an1 zi5
鞍尾	an1 wei3
鞍山	an1 shan1
鞍架	an1 jia4
鞍轡	an1 pei4
鞍部	an1 bu4
鞍革	an1 ge2
鞍馬	an1 ma3
鞍馬山	an1 ma3 shan1
鞏俐	gong3 li4
鞏固	gong3 gu4
鞏固國防	gong3 gu4 guo2 fang2
鞏固基地	gong3 gu4 ji1 di4
鞏膜	gong3 mo2
鞘翅	qiao4 chi4
鞠育	ju2 yu4
鞠躬	ju2 gong1
鞠躬盡瘁	ju2 gong1 jin4 cui4
鞠躬禮	ju2 gong1 li3
鞠養	ju2 yang3
鞣劑	rou2 ji4
鞣製	rou2 zhi4
鞣酸	rou2 suan1
鞦韆	qiu1 qian1
鞭刑	bian1 xing2
鞭子	bian1 zi5
鞭屍	bian1 shi1
鞭形	bian1 xing2
鞭打	bian1 da3
鞭撻	bian1 ta4
鞭毛	bian1 mao2
鞭毛藻	bian1 mao2 zao3
鞭毛蟲	bian1 mao2 chong2
鞭炮	bian1 pao4
鞭炮聲	bian1 pao4 sheng1
鞭砲	bian1 pao4
鞭笞	bian1 chi1
鞭策	bian1 ce4
鞭箠	bian1 chui2
鞭蟲	bian1 chong2
鞭辟入裡	bian1 bi4 ru4 li3
鞭長莫及	bian1 chang2 mo4 ji2
韁繩	jiang1 sheng2
韃子	da2 zi5
韃虜	da2 lu3
韃靼	da2 da2
韃靼人	da2 da2 ren2
韃韃	da2 da2
韋伯	wei2 bo2
韋氏音標	wei2 shi4 yin1 biao1
韋瓦第	wei2 wa3 di4
韋蓆	wei2 xi2
韌帶	ren4 dai4
韌度	ren4 du4
韌性	ren4 xing4
韌挺	ren4 ting3
韌皮	ren4 pi2
韌皮纖維	ren4 pi2 xian1 wei2
韌皮部	ren4 pi2 bu4
韌體	ren4 ti3
韓人	han2 ren2
韓信	han2 xin4
韓僑	han2 qiao2
韓劇	han2 ju4
韓國	han2 guo2
韓國人	han2 guo2 ren2
韓國史	han2 guo2 shi3
韓國泡菜	han2 guo2 pao4 cai4
韓國菜	han2 guo2 cai4
韓國製	han2 guo2 zhi4
韓國話	han2 guo2 hua4
韓國貨	han2 guo2 huo4
韓國隊	han2 guo2 dui4
韓圜	han2 huan2
韓式	han2 shi4
韓德爾	han2 de2 er3
韓愈	han2 yu4
韓戰	han2 zhan4
韓文	han2 wen2
韓村	han2 cun1
韓林兒	han2 lin2 er2
韓氏	han2 shi4
韓江流域	han2 jiang1 liu2 yu4
韓湘子	han2 xiang1 zi3
韓片	han2 pian4
韓航	han2 hang2
韓製	han2 zhi4
韓詩外傳	han2 shi1 wai4 zhuan4
韓語	han2 yu3
韓非	han2 fei1
韓非子	han2 fei1 zi3
韜光	tao1 guang1
韜光養晦	tao1 guang1 yang3 hui4
韜晦	tao1 hui4
韜略	tao1 lve4
韭菜	jiu3 cai4
韭菜盒子	jiu3 cai4 he2 zi5
韭菜花	jiu3 cai4 hua1
韭菜苗	jiu3 cai4 miao2
韭菜銀芽	jiu3 cai4 yin2 ya2
韭黃	jiu3 huang2
音位	yin1 wei4
音信	yin1 xin4
音信全無	yin1 xin4 quan2 wu2
音信渺茫	yin1 xin4 miao3 mang2
音分	yin1 fen1
音區	yin1 qu1
音叉	yin1 cha1
音名	yin1 ming2
音和	yin1 he2
音品	yin1 pin3
音型	yin1 xing2
音域	yin1 yu4
音容	yin1 rong2
音容宛在	yin1 rong2 wan3 zai4
音律	yin1 lv4
音感	yin1 gan3
音效	yin1 xiao4
音栓	yin1 shuan1
音樂	yin1 yue4
音樂劇	yin1 yue4 ju4
音樂台	yin1 yue4 tai2
音樂史	yin1 yue4 shi3
音樂學院	yin1 yue4 xue2 yuan4
音樂家	yin1 yue4 jia1
音樂廳	yin1 yue4 ting1
音樂廳裡	yin1 le4 ting1 li3
音樂性	yin1 yue4 xing4
音樂會	yin1 yue4 hui4
音樂會裡	yin1 le4 hui4 li3
音樂演奏	yin1 yue4 yan3 zou4
音樂營	yin1 yue4 ying2
音樂片	yin1 yue4 pian4
音樂界	yin1 yue4 jie4
音樂盒	yin1 yue4 he2
音樂祭	yin1 yue4 ji4
音樂節	yin1 yue4 jie2
音樂系	yin1 yue4 xi4
音樂總監	yin1 yue4 zong3 jian1
音樂老師	yin1 yue4 lao3 shi1
音樂課	yin1 le4 ke4
音樂迷	yin1 yue4 mi2
音標	yin1 biao1
音波	yin1 bo1
音波	yin1 po1
音源	yin1 yuan2
音準	yin1 zhun3
音界號	yin1 jie4 hao4
音程	yin1 cheng2
音符	yin1 fu2
音節	yin1 jie2
音素	yin1 su4
音義	yin1 yi4
音耗	yin1 hao4
音色	yin1 se4
音色甜美	yin1 se4 tian2 mei3
音訊	yin1 xun4
音訊全無	yin1 xun4 quan2 wu2
音訊渺茫	yin1 xun4 miao3 mang2
音調	yin1 diao4
音譯	yin1 yi4
音質	yin1 zhi2
音速	yin1 su4
音部	yin1 bu4
音量	yin1 liang4
音階	yin1 jie1
音韻	yin1 yun4
音韻學	yin1 yun4 xue2
音響	yin1 xiang3
音響效果	yin1 xiang3 xiao4 guo3
音頻	yin1 pin2
音高	yin1 gao1
韶光	shao2 guang1
韶光荏苒	shao2 guang1 ren3 ran3
韶山	shao2 shan1
韶秀	shao2 xiu4
韶華	shao2 hua2
韶關	shao2 guan1
韶顏	shao2 yan2
韻事	yun4 shi4
韻味	yun4 wei4
韻律	yun4 lv4
韻律舞	yun4 lv4 wu3
韻文	yun4 wen2
韻書	yun4 shu1
韻母	yun4 mu3
韻腳	yun4 jiao3
響亮	xiang3 liang4
響動	xiang3 dong4
響尾蛇	xiang3 wei3 she2
響尾蛇隊	xiang3 wei3 she2 dui4
響尾蛇飛彈	xiang3 wei3 she2 fei1 dan4
響度	xiang3 du4
響徹	xiang3 che4
響徹雲霄	xiang3 che4 yun2 xiao1
響應	xiang3 ying4
響板	xiang3 ban3
響聲	xiang3 sheng1
響起	xiang3 qi3
響起來	xiang3 qi3 lai2
響遍	xiang3 bian4
響遏行雲	xiang3 e4 xing2 yun2
響鈴	xiang3 ling2
響馬	xiang3 ma3
響馬黨羽	xiang3 ma3 dang3 yu3
頁岩	ye4 yan2
頁數	ye4 shu4
頁次	ye4 ci4
頁碼	ye4 ma3
頁面	ye4 mian4
頁頁	ye4 ye4
頂上	ding3 shang4
頂上來	ding3 shang4 lai2
頂上去	ding3 shang4 qu4
頂下	ding3 xia4
頂下來	ding3 xia4 lai2
頂下去	ding3 xia4 qu4
頂不	ding3 bu2
頂不	ding3 bu4
頂不住	ding3 bu2 zhu4
頂不起	ding3 bu4 qi3
頂事	ding3 shi4
頂住	ding3 zhu4
頂來頂去	ding3 lai2 ding3 qu4
頂個	ding3 ge5
頂冒	ding3 mao4
頂到	ding3 dao4
頂名	ding3 ming2
頂吹	ding3 chui1
頂呱呱	ding3 gua1 gua1
頂嘴	ding3 zui3
頂回	ding3 hui2
頂回來	ding3 hui2 lai2
頂回去	ding3 hui2 qu4
頂在	ding3 zai4
頂塔	ding3 ta3
頂多	ding3 duo1
頂多在	ding3 duo1 zai4
頂多是	ding3 duo1 shi4
頂多會	ding3 duo1 hui4
頂多有	ding3 duo1 you3
頂多能	ding3 duo1 neng2
頂天	ding3 tian1
頂天立地	ding3 tian1 li4 di4
頂好	ding3 hao3
頂好名店城	ding3 hao3 ming2 dian4 cheng2
頂好市場	ding3 hao3 shi4 chang3
頂好惠康	ding3 hao3 hui4 kang1
頂好超市	ding3 hao3 chao1 shi4
頂客族	ding3 ke4 zu2
頂尖	ding3 jian1
頂尖人物	ding3 jian1 ren2 wu4
頂尖高手	ding3 jian1 gao1 shou3
頂層	ding3 ceng2
頂層樓	ding3 ceng2 lou2
頂峰	ding3 feng1
頂戴	ding3 dai4
頂撞	ding3 zhuang4
頂新	ding3 xin1
頂替	ding3 ti4
頂板	ding3 ban3
頂棚	ding3 peng2
頂樓	ding3 lou2
頂溪	ding3 xi1
頂溪國小	ding3 xi1 guo2 xiao3
頂珠	ding3 zhu1
頂球	ding3 qiu2
頂瓜瓜	ding3 gua1 gua1
頂用	ding3 yong4
頂禮	ding3 li3
頂禮膜拜	ding3 li3 mo2 bai4
頂端	ding3 duan1
頂篷	ding3 peng2
頂缸	ding3 gang1
頂罪	ding3 zui4
頂芽	ding3 ya2
頂葉	ding3 ye4
頂著	ding3 zhe5
頂蓋	ding3 gai4
頂角	ding3 jiao3
頂讓	ding3 rang4
頂起	ding3 qi3
頂起來	ding3 qi3 lai2
頂過	ding3 guo4
頂過來	ding3 guo4 lai2
頂過去	ding3 guo4 qu4
頂部	ding3 bu4
頂針	ding3 zhen1
頂針兒	ding3 zhen1 er1
頂針兒	ding3 zhen1 er2
頂門	ding3 men2
頂頭	ding3 tou2
頂頭上司	ding3 tou2 shang4 si1
頂風	ding3 feng1
頂風冒雨	ding3 feng1 mao4 yu3
頂點	ding3 dian3
頃刻	qing3 ke4
頃刻之間	qing3 ke4 zhi1 jian1
頃刻間	qing3 ke4 jian1
頃接來信	qing3 jie1 lai2 xin4
頃者	qing3 zhe3
項上人頭	xiang4 shang4 ren2 tou2
項圈	xiang4 quan1
項城	xiang4 cheng2
項目	xiang4 mu4
項目表	xiang4 mu4 biao3
項羽	xiang4 yu3
項背	xiang4 bei4
項背相望	xiang4 bei4 xiang1 wang4
項莊舞劍	xiang4 zhuang1 wu3 jian4
項鍊	xiang4 lian4
項鏈	xiang4 lian4
項領	xiang4 ling3
順乎	shun4 hu1
順位	shun4 wei4
順便	shun4 bian4
順便來	shun4 bian4 lai2
順便到	shun4 bian4 dao4
順便去	shun4 bian4 qu4
順其自然	shun4 qi2 zi4 ran2
順利	shun4 li4
順利的	shun4 li4 de5
順勢	shun4 shi4
順勢推舟	shun4 shi4 tui1 zhou1
順化	shun4 hua4
順口	shun4 kou3
順命	shun4 ming4
順嘴	shun4 zui3
順境	shun4 jing4
順天	shun4 tian1
順天應人	shun4 tian1 ying4 ren2
順天者昌	shun4 tian1 zhe3 chang1
順差	shun4 cha1
順常	shun4 chang2
順序	shun4 xu4
順延	shun4 yan2
順延到	shun4 yan2 dao4
順從	shun4 cong2
順德	shun4 de2
順心	shun4 xin1
順心如意	shun4 xin1 ru2 yi4
順情理	shun4 qing2 li3
順應	shun4 ying4
順應時代	shun4 ying4 shi2 dai4
順應時勢	shun4 ying4 shi2 shi4
順應潮流	shun4 ying4 chao2 liu2
順我者昌	shun4 wo3 zhe3 chang1
順手	shun4 shou3
順手帶走	shun4 shou3 dai4 zou3
順手牽羊	shun4 shou3 qian1 yang2
順承	shun4 cheng2
順旨	shun4 zhi3
順時	shun4 shi2
順時針	shun4 shi2 zhen1
順時針方向	shun4 shi2 zhen1 fang1 xiang4
順時鐘	shun4 shi2 zhong1
順時鐘方向	shun4 shi2 zhong1 fang1 xiang4
順暢	shun4 chang4
順服	shun4 fu2
順次	shun4 ci4
順民	shun4 min2
順民者昌	shun4 min2 zhe3 chang1
順水	shun4 shui3
順水人情	shun4 shui3 ren2 qing2
順水推舟	shun4 shui3 tui1 zhou1
順水行船	shun4 shui3 xing2 chuan2
順治	shun4 zhi4
順流	shun4 liu2
順流而下	shun4 liu2 er2 xia4
順理成章	shun4 li3 cheng2 zhang1
順當	shun4 dang4
順眼	shun4 yan3
順耳	shun4 er3
順著	shun4 zhe5
順起來	shun4 qi3 lai2
順路	shun4 lu4
順路來	shun4 lu4 lai2
順路到	shun4 lu4 dao4
順路去	shun4 lu4 qu4
順遂	shun4 sui4
順道	shun4 dao4
順道一提	shun4 dao4 yi1 ti2
順道來	shun4 dao4 lai2
順道去	shun4 dao4 qu4
順適	shun4 shi4
順順利利	shun4 shun4 li4 li4
順風	shun4 feng1
順風而呼	shun4 feng1 er2 hu1
順風耳	shun4 feng1 er3
須得	xu1 de5
須知	xu1 zhi1
須臾	xu1 yu2
須要	xu1 yao4
頌德	song4 de2
頌揚	song4 yang2
頌揚備至	song4 yang2 bei4 zhi4
頌歌	song4 ge1
頌歎	song4 tan4
頌聲	song4 sheng1
頌聲載道	song4 sheng1 zai3 dao4
頌詞	song4 ci2
頌詩	song4 shi1
頌讚	song4 zan4
頌辭	song4 ci2
頎然	qi2 ran2
預付	yu4 fu4
預付資本	yu4 fu4 zi1 ben3
預估	yu4 gu1
預估出來	yu4 gu1 chu1 lai2
預估為	yu4 gu1 wei2
預借	yu4 jie4
預備	yu4 bei4
預備士官	yu4 bei4 shi4 guan1
預備性	yu4 bei4 xing4
預備立憲	yu4 bei4 li4 xian4
預備賽	yu4 bei4 sai4
預備軍官	yu4 bei4 jun1 guan1
預備金	yu4 bei4 jin1
預備隊	yu4 bei4 dui4
預兆	yu4 zhao4
預先	yu4 xian1
預力混凝土	yu4 li4 hun3 ning2 tu3
預卜	yu4 bu3
預告	yu4 gao4
預告片	yu4 gao4 pian4
預售	yu4 shou4
預售屋	yu4 shou4 wu1
預售票	yu4 shou4 piao4
預報	yu4 bao4
預委會	yu4 wei3 hui4
預官	yu4 guan1
預定	yu4 ding4
預定地	yu4 ding4 di4
預審	yu4 shen3
預展	yu4 zhan3
預後	yu4 hou4
預想	yu4 xiang3
預想出	yu4 xiang3 chu1
預想到	yu4 xiang3 dao4
預感	yu4 gan3
預拌混凝土	yu4 ban4 hun4 ning2 tu3
預支	yu4 zhi1
預收款	yu4 shou1 kuan3
預料	yu4 liao4
預料不到	yu4 liao4 bu2 dao4
預料中	yu4 liao4 zhong1
預料出	yu4 liao4 chu1
預料到	yu4 liao4 dao4
預期	yu4 qi2
預測	yu4 ce4
預測出	yu4 ce4 chu1
預測者	yu4 ce4 zhe3
預演	yu4 yan3
預熱	yu4 re4
預產期	yu4 chan3 qi2
預留	yu4 liu2
預知	yu4 zhi1
預示	yu4 shi4
預祝	yu4 zhu4
預算	yu4 suan4
預算案	yu4 suan4 an4
預算表	yu4 suan4 biao3
預籌	yu4 chou2
預約	yu4 yue1
預繳	yu4 jiao3
預習	yu4 xi2
預習功課	yu4 xi2 gong1 ke4
預製	yu4 zhi4
預見	yu4 jian4
預視	yu4 shi4
預言	yu4 yan2
預言家	yu4 yan2 jia1
預訂	yu4 ding4
預計	yu4 ji4
預設	yu4 she4
預設值	yu4 she4 zhi2
預設底線	yu4 she4 di3 xian4
預設的	yu4 she4 de5
預設立場	yu4 she4 li4 chang3
預謀	yu4 mou2
預警	yu4 jing3
預購	yu4 gou4
預賽	yu4 sai4
預選	yu4 xuan3
預錄的	yu4 lu4 de5
預防	yu4 fang2
預防接種	yu4 fang2 jie1 zhong4
預防為主	yu4 fang2 wei2 zhu3
預防重於治療	yu4 fang2 zhong4 yu2 zhi4 liao2
預防針	yu4 fang2 zhen1
頑劣	wan2 lie4
頑固	wan2 gu4
頑固份子	wan2 gu4 fen4 zi3
頑固派	wan2 gu4 pai4
頑強	wan2 qiang2
頑愚	wan2 yu2
頑抗	wan2 kang4
頑敵	wan2 di2
頑昧	wan2 mei4
頑民	wan2 min2
頑癬	wan2 xian3
頑癬	wan2 xuan3
頑皮	wan2 pi2
頑皮世界	wan2 pi2 shi4 jie4
頑皮鬼	wan2 pi2 gui3
頑石	wan2 shi2
頑童	wan2 tong2
頑童歷險記	wan2 tong2 li4 xian3 ji4
頑童流浪記	wan2 tong2 liu2 lang4 ji4
頑逆	wan2 ni4
頑鈍	wan2 dun4
頑靡	wan2 mi2
頒佈	ban1 bu4
頒布	ban1 bu4
頒授	ban1 shou4
頒獎	ban1 jiang3
頒獎儀式	ban1 jiang3 yi2 shi4
頒獎典禮	ban1 jiang3 dian3 li3
頒發	ban1 fa1
頒發獎品	ban1 fa1 jiang3 pin3
頒發獎牌	ban1 fa1 jiang3 pai2
頒發獎狀	ban1 fa1 jiang3 zhuang4
頒發獎盃	ban1 fa1 jiang3 bei1
頒發獎金	ban1 fa1 jiang3 jin1
頒給	ban1 gei3
頒行	ban1 xing2
頒訂	ban1 ding4
頒賜	ban1 si4
頒賞	ban1 shang3
頒贈	ban1 zeng4
頒贈給	ban1 zeng4 gei3
頓住	dun4 zhu4
頓悟	dun4 wu4
頓成	dun4 cheng2
頓挫	dun4 cuo4
頓改	dun4 gai3
頓改前非	dun4 gai3 qian2 fei1
頓時	dun4 shi2
頓河	dun4 he2
頓消	dun4 xiao1
頓然	dun4 ran2
頓筆	dun4 bi3
頓絕法	dun4 jue2 fa3
頓腳	dun4 jiao3
頓號	dun4 hao4
頓起	dun4 qi3
頓足	dun4 zu2
頓音	dun4 yin1
頓首	dun4 shou3
頗不以為然	po3 bu4 yi3 wei2 ran2
頗久	po3 jiu3
頗佳	po3 jia1
頗具	po3 ju4
頗具匠心	po3 ju4 jiang4 xin1
頗具新意	po3 ju4 xin1 yi4
頗具規模	po3 ju4 gui1 mo2
頗冷	po3 leng3
頗多	po3 duo1
頗好	po3 hao4
頗想	po3 xiang3
頗感	po3 gan3
頗成	po3 cheng2
頗有新趣	po3 you3 xin1 qu4
頗欲	po3 yu4
頗為	po3 wei2
頗知	po3 zhi1
頗耗電	po3 hao4 dian4
頗見	po3 jian4
頗覺	po3 jue2
頗重	po3 zhong4
領不到錢	ling3 bu4 dao4 qian2
領主	ling3 zhu3
領事	ling3 shi4
領事裁判	ling3 shi4 cai2 pan4
領事裁判權	ling3 shi4 cai2 pan4 quan2
領事館	ling3 shi4 guan3
領人	ling3 ren2
領來	ling3 lai2
領先	ling3 xian1
領兵	ling3 bing1
領出	ling3 chu1
領出來	ling3 chu1 lai2
領出去	ling3 chu1 qu4
領到	ling3 dao4
領取	ling3 qu3
領受	ling3 shou4
領受到	ling3 shou4 dao4
領口	ling3 kou3
領唱	ling3 chang4
領唱者	ling3 chang4 zhe3
領單	ling3 dan1
領回	ling3 hui2
領回來	ling3 hui2 lai2
領回去	ling3 hui2 qu4
領土	ling3 tu3
領地	ling3 di4
領域	ling3 yu4
領域內	ling3 yu4 nei4
領域裡	ling3 yu4 li3
領子	ling3 zi5
領導	ling3 dao3
領導人	ling3 dao3 ren2
領導性	ling3 dao3 xing4
領導有方	ling3 dao3 you3 fang1
領導權	ling3 dao3 quan2
領導者	ling3 dao3 zhe3
領巾	ling3 jin1
領帶	ling3 dai4
領帶夾	ling3 dai4 jia2
領帶針	ling3 dai4 zhen1
領得	ling3 de2
領悟	ling3 wu4
領悟出	ling3 wu4 chu1
領悟到	ling3 wu4 dao4
領悟力	ling3 wu4 li4
領情	ling3 qing2
領成	ling3 cheng2
領據	ling3 ju4
領教	ling3 jiao4
領書	ling3 shu1
領會	ling3 hui4
領會到	ling3 hui4 dao4
領月薪	ling3 yue4 xin1
領有	ling3 you3
領款	ling3 kuan3
領款人	ling3 kuan3 ren2
領水	ling3 shui3
領洗	ling3 xi3
領海	ling3 hai3
領海權	ling3 hai3 quan2
領港	ling3 gang3
領港費	ling3 gang3 fei4
領獎	ling3 jiang3
領獎人	ling3 jiang3 ren2
領獎者	ling3 jiang3 zhe3
領班	ling3 ban1
領略	ling3 lve4
領略出	ling3 lve4 chu1
領略到	ling3 lve4 dao4
領空	ling3 kong1
領章	ling3 zhang1
領結	ling3 jie2
領罪	ling3 zui4
領航	ling3 hang2
領航員	ling3 hang2 yuan2
領航圖	ling3 hang2 tu2
領航艇	ling3 hang2 ting3
領著	ling3 zhe5
領表	ling3 biao3
領表格	ling3 biao3 ge2
領袖	ling3 xiu4
領袖慾	ling3 xiu4 yu4
領走	ling3 zou3
領路	ling3 lu4
領進	ling3 jin4
領進來	ling3 jin4 lai2
領進去	ling3 jin4 qu4
領進門	ling3 jin4 men2
領過	ling3 guo4
領過來	ling3 guo4 lai2
領過去	ling3 guo4 qu4
領道	ling3 dao4
領釦	ling3 kou4
領銜	ling3 xian2
領錢	ling3 qian2
領隊	ling3 dui4
領隊人	ling3 dui4 ren2
領頭	ling3 tou2
領餉	ling3 xiang3
領養	ling3 yang3
頡頏	xie2 hang2
頤和園	yi2 he2 yuan2
頤指氣使	yi2 zhi3 qi4 shi3
頤神	yi2 shen2
頤養	yi2 yang3
頤養天年	yi2 yang3 tian1 nian2
頦頷	hai2 han4
頭上	tou2 shang4
頭上腳下	tou2 shang4 jiao3 xia4
頭份	tou2 fen4
頭份鎮	tou2 fen4 zhen4
頭像	tou2 xiang4
頭兒	tou2 er1
頭前溪	tou2 qian2 xi1
頭城	tou2 cheng2
頭城鎮	tou2 cheng2 zhen4
頭大	tou2 da4
頭子	tou2 zi5
頭家	tou2 jia1
頭寸	tou2 cun4
頭尾	tou2 wei3
頭屋鄉	tou2 wu1 xiang1
頭巾	tou2 jin1
頭彩	tou2 cai3
頭昏	tou2 hun1
頭昏眼花	tou2 hun1 yan3 hua1
頭昏腦脹	tou2 hun1 nao3 zhang4
頭暈	tou2 yun1
頭暈目眩	tou2 yun1 mu4 xuan4
頭暈眼花	tou2 yun1 yan3 hua1
頭會箕斂	tou2 hui4 ji1 lian4
頭期款	tou2 qi2 kuan3
頭條	tou2 tiao2
頭條新聞	tou2 tiao2 xin1 wen2
頭殼壞去	tou2 ke2 huai4 qu4
頭油	tou2 you2
頭版	tou2 ban3
頭版新聞	tou2 ban3 xin1 wen2
頭狀	tou2 zhuang4
頭狀花序	tou2 zhuang4 hua1 xu4
頭獎	tou2 jiang3
頭疼	tou2 teng2
頭痛	tou2 tong4
頭痛的	tou2 tong4 de5
頭痛藥	tou2 tong4 yao4
頭痛醫頭	tou2 tong4 yi1 tou2
頭癬	tou2 xian3
頭皮	tou2 pi2
頭皮屑	tou2 pi2 xie4
頭盔	tou2 kui1
頭目	tou2 mu4
頭破血流	tou2 po4 xie3 liu2
頭等	tou2 deng3
頭等艙	tou2 deng3 cang1
頭箍	tou2 gu1
頭篩	tou2 shai1
頭籌	tou2 chou2
頭紗	tou2 sha1
頭緒	tou2 xu4
頭罩	tou2 zhao4
頭腦	tou2 nao3
頭腦好	tou2 nao3 hao3
頭臉	tou2 lian3
頭艙	tou2 cang1
頭蓋	tou2 gai4
頭蓋腔	tou2 gai4 qiang1
頭蓋骨	tou2 gai4 gu3
頭號	tou2 hao4
頭號人物	tou2 hao4 ren2 wu4
頭號敵人	tou2 hao4 di2 ren2
頭蝨	tou2 shi1
頭角	tou2 jiao3
頭角崢嶸	tou2 jiao3 zheng1 rong2
頭路	tou2 lu4
頭部	tou2 bu4
頭重腳輕	tou2 zhong4 jiao3 qing1
頭銜	tou2 xian2
頭陀	tou2 tuo2
頭陣	tou2 zhen4
